,,,,,,
,Line ID,Script,Length,,,
,1,"Shuklam Baradaram Vishnum, Sasi Varnam Chatur Bhujam,",53,,,
,2,"Prasanna Vadanan Dyayet, Sarva Vignoba Sandaye",46,,,
,3,"Vyasam Vasishtanaptharam, Sakthe Poutramakalmasham,",51,,,
,4,"Parasarathma- jam vande, Shukathatham Taponidhim.",49,,,
,5,"Vyasa Vishnu Roopaya, Vyasa Roopaya Vishnave,",45,,,
,6,"Namo Vai Brahma Vidaya, Vasishtaya Namo Nama.",45,,,
,7,"Avikaraya Shuddhaya, Nityaya Paramatmane,",41,,,
,8,"Sadaika Roopa Roopaya, Vishnave Sarva Jishnave.",47,,,
,9,"Yasya Smarana Mathrena, Janma Samsara Bandhanath.",49,,,
,10,"Vimuchayate Nama Tasmai, Vishnave Prabha Vishnave",49,,,
,11,OM Namo Vishnave Prabha Vishnave,32,,,
,12,Shri Vaisampayana Uvacha,24,,,
,13,"Shrutva Dharmaneshena, Pavanani Cha Sarvasha,",45,,,
,14,Yudishtra Santhanavam Puneravabhya Bhashata,43,,,
,15,Yudishtra Uvacha,16,,,
,16,"Kimekam Daivatham Loke, Kim Vapyegam Parayanam,",47,,,
,17,"Sthuvantha Kam Kamarchanda Prapnyur Manava Shubham,",51,,,
,18,Ko Dharma sarva Dharmanam Paramo Matha,38,,,
,19,Kim Japanmuchyathe Jandur Janma Samsara Bhandanat,49,,,
,20,Sri Bheeshma Uvacha,19,,,
,21,"Jagat Prabhum Devadevam Anantham Purushottamam,",47,,,
,22,"Stuvan Nama Sahasrena, Purusha Sathathothida,",45,,,
,23,"Tameva Charchayan Nityam, Bhaktya Purushamavyayam,",50,,,
,24,"Dhyayan Sthuvan Namasyancha Yajamanasthameva Cha,",49,,,
,25,Anadi Nidhanam Vishnum Sarva Loka Maheswaram,44,,,
,26,"Lokadyaksham Stuvannityam Sarva Dukkhago Bhaved,",48,,,
,27,"Brahmanyam Sarva Dharmagnam Lokanam Keerthi Vardhanam,",54,,,
,28,Lokanatham Mahadbhootham Sarva Bhootha Bhavodbhavam,51,,,
,29,"Aeshame Sarva Dharmanam Dharmadhika Tamo Matha,",47,,,
,30,"Yad Bhaktyo Pundarikaksham Stuvyr-Archanayr-Nara Sada,",54,,,
,31,"Paramam Yo Mahatteja, Paramam Yo Mahattapa",42,,,
,32,Paramam Yo Mahad Brahma Paramam Ya Parayanam,44,,,
,33,"Pavithranam Pavithram Yo Mangalanam Cha Mangalam,",49,,,
,34,Dhaivatham Devathanam Cha Bhootanam Yo Vya Pitha,48,,,
,35,Yatha Sarvani Bhoothani Bhavandyathi Yugagame,45,,,
,36,Yasmincha Pralayam Yanthi Punareve Yuga Kshaye,46,,,
,37,Tasya Loka Pradhanasya Jagannatathasya Bhoopathe,48,,,
,38,Vishno Nama Sahasram Me Srunu Papa Bhayapaham,45,,,
,39,Yani Namani Gounani Vikhyatani Mahatmanah,41,,,
,40,Rishibhih Parigeetani Tani Vakshyami Bhootaye,45,,,
,41,Rishir Namnam Sahsrasya Veda Vyaso Maha Munih,45,,,
,42,Chando Aunustup Stada Devo Bhagawan Devaki Sutha,48,,,
,43,Amruthamsu Bhavo Bhhejam Shakthir Devaki Nandana,48,,,
,44,Trisama Hridayam Tasya Santhyarthe Viniyujyade,46,,,
,45,Vishnum Jishnum Mahavishnum Prabha Vishnun Maheswaram,53,,,
,46,Aneka Roopa Daityantham Namami Purushottamam,44,,,
,47,Sri Vishnu Sahasranama Stotra,29,,,
,48,Asya Shriivishhnor-Divyasahasranaam- a Stotra Mahaa Mantrasya,61,,,
,49,Shri Vedavyaaso Bhagavaan Rishhih,33,,,
,50,Anushhtuph Chhandah,19,,,
,51,Shri Mahaavishnuh Paramaatmaa Shriimannaaraayano Devataa,56,,,
,52,Amritaam Shuudbhavo Bhaanuriti Bieejam,38,,,
,53,Devakee Nandanah Srashteti Shaktih,34,,,
,54,Udbhavah Kshobhano Deva Iti Paramo Mantrah,42,,,
,55,Shankha-Bhrinnandakii Chakriiti Keelakam,40,,,
,56,Shaarngadhanvaa Gadaadhara Ityastram,36,,,
,57,Rathaangapaani Rakshobhya Iti Netram,36,,,
,58,Trisaamaa Saamagah Saameti Kavacham,35,,,
,59,Aanandam Parabrahmeti Yonih,27,,,
,60,Rituh Sudarshanah Kaala Iti Digbandhah,38,,,
,61,Shri Vishvaruupa Iti Dhyaanam,29,,,
,62,Shri Mahaavishhnu Priityartham Sahasranaama Jape Viniyogah,58,,,
,63,Dhyanam,7,,,
,64,Ksheerodanvath- Pradese Suchimani Vilasad Saikathe Maukthikanam,63,,,
,65,Malaklupthasanasth- a Spatikamani Nibhai Maukthiker Mandithangah,64,,,
,66,Shubrai-Rabrai-Rat- habrai Ruparivirachitai Muktha Peeyusha Varshai,67,,,
